rank,candidate,candidate_group,current_role,state_alignment,stack_alignment,program_alignment,external_support_reading,evidence_basis,current_status,notes
1,Tspan2,minimal_architecture,push,intermediate_to_frontier_transition_logic,balanced_analysis_stack | boundary_probe_stack | maximum_rescue_probe_stack,balanced_state_transition_program | boundary_probe_program | maximum_rescue_program,externally interpretable in Dataset B and not a simple terminal-best-state marker,minimal architecture + transition logic + intervention layer + Dataset B first-pass support,core_current_candidate,Best read as movement-opening logic rather than a naive monotonic repair signal
2,Ptprd,minimal_architecture,anchor,dominant_basin_commitment_and_directionality,default_safe_stack | balanced_analysis_stack | boundary_probe_stack,default_safe_translation_program | balanced_state_transition_program | boundary_probe_program,externally supported in Dataset B with WT > PLP_iCKO > Sox10_iCKO ordering,minimal architecture + transition logic + intervention layer + Dataset B first-pass support,core_current_candidate,Best read as commitment-stabilizing and directionality-preserving logic
3,Aspa,minimal_architecture,support,repair_compatible_consolidation_and_maturation,default_safe_stack | maximum_rescue_probe_stack,default_safe_translation_program | maximum_rescue_program,externally supported in Dataset B with WT > PLP_iCKO > Sox10_iCKO ordering,minimal architecture + transition logic + intervention layer + Dataset B first-pass support,core_current_candidate,Best read as consolidation maturation and durability support rather than movement-opening logic
4,Mal,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
5,Cldn11,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
6,Plp1,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
7,Mog,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
8,Mobp,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
9,Mbp,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
10,Mag,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
11,Cnp,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
12,Abca2,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
13,Ptgds,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
14,Myrf,repair_signature_anchor,repair_state_anchor_or_supporting_marker,dominant_repair_compatible_basin,default_safe_stack,default_safe_translation_program,supportive as part of repair-compatible state logic and not a primary minimal-architecture role by default,repair signature layer + dominant basin reading + current outputs snapshot,supporting_current_candidate,Useful as part of the repair-compatible molecular anchor but not automatically equivalent to a core control role
